"BehaviorSpace results (NetLogo 6.2.0)"
"tmpSIR.nlogo"
"Analisis_DS_vs_Emax"
"11/21/2025 20:41:29:849 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","densidad-pob","wiggle","probabilidad-contagio","tiempo-enfermedad","distanciamiento-social","infectados-iniciales","[step]","pico-maximo","tiempo-pico","ticks"
"112","60","150","0.8","25","55","5","66","4936","30","66"
"113","60","150","0.8","25","55","5","71","4695","31","71"
"114","60","150","0.8","25","55","5","68","4927","30","68"
"115","60","150","0.8","25","55","5","70","4580","28","70"
"116","60","150","0.8","25","55","5","68","4954","29","68"
"117","60","150","0.8","25","55","5","70","4726","28","70"
"119","60","150","0.8","25","55","5","64","4906","30","64"
"118","60","150","0.8","25","55","5","70","4964","29","70"
"120","60","150","0.8","25","55","5","66","4922","30","66"
"121","60","150","0.8","25","60","5","67","4601","32","67"
"122","60","150","0.8","25","60","5","67","4842","31","67"
"123","60","150","0.8","25","60","5","69","4669","35","69"
"124","60","150","0.8","25","60","5","67","4827","31","67"
"125","60","150","0.8","25","60","5","64","5051","30","64"
"126","60","150","0.8","25","60","5","71","4560","32","71"
"129","60","150","0.8","25","60","5","64","5075","31","64"
"127","60","150","0.8","25","60","5","74","4365","31","74"
"128","60","150","0.8","25","60","5","71","5213","30","71"
"130","60","150","0.8","25","60","5","66","4934","30","66"
"131","60","150","0.8","25","65","5","60","5311","29","60"
"132","60","150","0.8","25","65","5","66","5168","31","66"
"133","60","150","0.8","25","65","5","66","4547","34","66"
"134","60","150","0.8","25","65","5","69","5011","30","69"
"135","60","150","0.8","25","65","5","73","4573","31","73"
"136","60","150","0.8","25","65","5","75","4568","33","75"
"137","60","150","0.8","25","65","5","67","4922","30","67"
"138","60","150","0.8","25","65","5","68","4759","32","68"
"139","60","150","0.8","25","65","5","74","4014","36","74"
"140","60","150","0.8","25","65","5","68","4497","34","68"
"142","60","150","0.8","25","70","5","69","4697","32","69"
"141","60","150","0.8","25","70","5","72","4138","32","72"
"143","60","150","0.8","25","70","5","78","4517","29","78"
"146","60","150","0.8","25","70","5","71","4379","33","71"
"144","60","150","0.8","25","70","5","69","5130","31","69"
"147","60","150","0.8","25","70","5","71","4845","31","71"
"145","60","150","0.8","25","70","5","76","4375","35","76"
"148","60","150","0.8","25","70","5","74","4400","34","74"
"149","60","150","0.8","25","70","5","74","4389","31","74"
"150","60","150","0.8","25","70","5","66","4903","31","66"
"151","60","150","0.8","25","75","5","75","4370","33","75"
"152","60","150","0.8","25","75","5","72","4313","33","72"
"153","60","150","0.8","25","75","5","81","4046","33","81"
"155","60","150","0.8","25","75","5","72","4748","30","72"
"154","60","150","0.8","25","75","5","69","5074","32","69"
"156","60","150","0.8","25","75","5","74","4725","32","74"
"158","60","150","0.8","25","75","5","66","5218","29","66"
"157","60","150","0.8","25","75","5","77","4063","34","77"
"161","60","150","0.8","25","80","5","76","4275","35","76"
"159","60","150","0.8","25","75","5","79","4630","33","79"
"163","60","150","0.8","25","80","5","77","4866","34","77"
"160","60","150","0.8","25","75","5","76","4369","33","76"
"162","60","150","0.8","25","80","5","77","3966","37","77"
"164","60","150","0.8","25","80","5","77","4434","34","77"
"166","60","150","0.8","25","80","5","75","4135","33","75"
"165","60","150","0.8","25","80","5","77","4000","34","77"
"168","60","150","0.8","25","80","5","75","3988","32","75"
"169","60","150","0.8","25","80","5","74","4618","32","74"
"167","60","150","0.8","25","80","5","77","4300","34","77"
"172","60","150","0.8","25","85","5","77","4302","33","77"
"170","60","150","0.8","25","80","5","80","4106","33","80"
"171","60","150","0.8","25","85","5","74","4448","33","74"
"174","60","150","0.8","25","85","5","67","4901","32","67"
"173","60","150","0.8","25","85","5","79","4066","36","79"
