"BehaviorSpace results (NetLogo 6.2.0)"
"BFO.nlogo"
"Exp3-Dispersion"
"11/30/2025 10:57:20:367 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","49","-50","49"
"[run number]","Ped","poblacion","funcion-objetivo","paso-C","Nc","Ns","Nre","tamano-mundo","max-ticks","usar-swarming?","usar-obstaculos?","usar-nutrientes-agotables?","tipo-frontera","densidad-obstaculos","tamano-obstaculos","tasa-consumo","tasa-regeneracion","d-attract","w-attract","h-repellant","w-repellant","[step]","mejor-fitness","fitness-promedio"
"5","0.25","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.06480000000000001"
"2","0.05","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.06359999999999998"
"1","0.05","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.05240000000000001"
"3","0.05","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.0456"
"4","0.25","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.034400000000000014"
"6","0.25","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.06959999999999997"
"8","0.5","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.047599999999999996"
"7","0.5","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.056000000000000015"
"9","0.5","50","Sphere","1","20","4","4","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.06480000000000001"
