"BehaviorSpace results (NetLogo 6.2.0)"
"BFO.nlogo"
"Exp5-Swarming"
"11/30/2025 11:00:50:244 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","49","-50","49"
"[run number]","usar-swarming?","poblacion","funcion-objetivo","paso-C","Nc","Ns","Nre","Ped","tamano-mundo","max-ticks","d-attract","w-attract","h-repellant","w-repellant","usar-obstaculos?","usar-nutrientes-agotables?","tipo-frontera","densidad-obstaculos","tamano-obstaculos","tasa-consumo","tasa-regeneracion","[step]","mejor-fitness","fitness-promedio"
"3","false","50","Sphere","1","20","4","4","0.25","100","1000","0.1","0.2","0.1","10","false","false","No Periódica","5","2","10","0.1","1000","0","0.06080000000000001"
"2","false","50","Sphere","1","20","4","4","0.25","100","1000","0.1","0.2","0.1","10","false","false","No Periódica","5","2","10","0.1","1000","0","0.06199999999999999"
"1","false","50","Sphere","1","20","4","4","0.25","100","1000","0.1","0.2","0.1","10","false","false","No Periódica","5","2","10","0.1","1000","0","0.06720000000000001"
"6","true","50","Sphere","1","20","4","4","0.25","100","1000","0.1","0.2","0.1","10","false","false","No Periódica","5","2","10","0.1","1000","0","0.043600000000000014"
"5","true","50","Sphere","1","20","4","4","0.25","100","1000","0.1","0.2","0.1","10","false","false","No Periódica","5","2","10","0.1","1000","0","0.047599999999999996"
"4","true","50","Sphere","1","20","4","4","0.25","100","1000","0.1","0.2","0.1","10","false","false","No Periódica","5","2","10","0.1","1000","0.010000000000000002","0.0672"
