"BehaviorSpace results (NetLogo 6.2.0)"
"BFO.nlogo"
"Exp1-Poblacion"
"11/30/2025 10:56:17:513 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","poblacion","funcion-objetivo","paso-C","Nc","Ns","Nre","Ped","tamano-mundo","max-ticks","usar-swarming?","usar-obstaculos?","usar-nutrientes-agotables?","tipo-frontera","densidad-obstaculos","tamano-obstaculos","tasa-consumo","tasa-regeneracion","d-attract","w-attract","h-repellant","w-repellant","[step]","mejor-fitness","fitness-promedio","count turtles"
"3","10","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.044000000000000004","10"
"2","10","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.12400000000000003","10"
"1","10","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.13200000000000003","10"
"4","30","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.07800000000000003","30"
"6","30","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.046666666666666676","30"
"5","30","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.07866666666666669","30"
"9","50","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.0676","50"
"8","50","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.04840000000000002","50"
"7","50","Sphere","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.0676","50"
