"BehaviorSpace results (NetLogo 6.2.0)"
"BFO.nlogo"
"Exp2-TamanoPaso"
"11/30/2025 10:57:06:461 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","49","-50","49"
"[run number]","paso-C","poblacion","funcion-objetivo","Nc","Ns","Nre","Ped","tamano-mundo","max-ticks","usar-swarming?","usar-obstaculos?","usar-nutrientes-agotables?","tipo-frontera","densidad-obstaculos","tamano-obstaculos","tasa-consumo","tasa-regeneracion","d-attract","w-attract","h-repellant","w-repellant","[step]","mejor-fitness","fitness-promedio"
"9","3","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.5779999999999998"
"7","3","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.6132"
"5","1","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.04960000000000002"
"8","3","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.4384000000000002"
"1","0.5","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.01920000000000001"
"3","0.5","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.02240000000000001"
"2","0.5","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.011600000000000008"
"6","1","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.046000000000000006"
"4","1","50","Sphere","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.0548"
